run_id,config_id,fit_seconds,selected_threshold,vector_size,window,pooling,normalize_embeddings,C,class_weight,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,positive_precision,positive_recall,positive_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
FASTTEXT-EMB_LOG-REG_20260708_174434,1,0.06605267524719238,0.36000000000000004,100,3,idf_weighted_mean,False,0.3,,0.36000000000000004,450,169,281,0.37555555555555553,0.7666666666666667,0.7671776621954558,0.6632653061224489,0.7692307692307693,0.7123287671232876,0.7580335424401485,0.7694089531856783,0.8348880793446903,0.7803460510809404,0.15497307957973055,215,66,39,130,0.23487544483985764,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,75,0.11977815628051758,0.36000000000000004,200,5,idf_weighted_mean,False,1.0,,0.36000000000000004,450,169,281,0.37555555555555553,0.7666666666666667,0.7671776621954558,0.6632653061224489,0.7692307692307693,0.7123287671232876,0.7580335424401485,0.7694089531856783,0.8452694308155574,0.7799718285963564,0.15039418216187098,215,66,39,130,0.23487544483985764,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,60,0.25759291648864746,0.49,200,3,idf_weighted_mean,True,3.0,balanced,0.49,450,169,281,0.37555555555555553,0.7622222222222222,0.7659773842363495,0.6534653465346535,0.7810650887573964,0.7115902964959568,0.7546609327470333,0.7653807355473011,0.8460275011055192,0.7782480081799389,0.16275511448150332,211,70,37,132,0.2491103202846975,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,43,0.0473177433013916,0.36000000000000004,100,5,mean,True,0.3,,0.36000000000000004,450,169,281,0.37555555555555553,0.7711111111111111,0.7671987197035103,0.675531914893617,0.7514792899408284,0.711484593837535,0.7608988346719904,0.7731974901685659,0.8401945713744235,0.7940857685545295,0.15127034867083877,220,61,42,127,0.21708185053380782,0.2485207100591716
FASTTEXT-EMB_LOG-REG_20260708_174434,82,0.14493298530578613,0.55,200,5,idf_weighted_mean,True,1.0,balanced,0.55,450,169,281,0.37555555555555553,0.78,0.7684200551706711,0.7011494252873564,0.7218934911242604,0.7113702623906706,0.7668161904412958,0.7806160658672291,0.8487439196445492,0.7836522350802576,0.15939612484779137,229,52,47,122,0.18505338078291814,0.2781065088757396
FASTTEXT-EMB_LOG-REG_20260708_174434,27,0.06921935081481934,0.44,100,5,idf_weighted_mean,False,1.0,,0.44,450,169,281,0.37555555555555553,0.7888888888888889,0.7696413906378319,0.73125,0.6923076923076923,0.7112462006079028,0.7724357097610441,0.787665098705826,0.8369938301501401,0.7719211627820126,0.1540318731780637,238,43,52,117,0.15302491103202848,0.3076923076923077
FASTTEXT-EMB_LOG-REG_20260708_174434,3,0.06776833534240723,0.44,100,3,idf_weighted_mean,False,1.0,,0.44,450,169,281,0.37555555555555553,0.7888888888888889,0.7696413906378319,0.73125,0.6923076923076923,0.7112462006079028,0.7724357097610441,0.787665098705826,0.8358988397313062,0.7670688847956968,0.15528100811438947,238,43,52,117,0.15302491103202848,0.3076923076923077
FASTTEXT-EMB_LOG-REG_20260708_174434,81,0.15110373497009277,0.41000000000000003,200,5,idf_weighted_mean,True,1.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.7777777777777778,0.7678199161911179,0.6949152542372882,0.727810650887574,0.7109826589595376,0.7652386218985414,0.7787423282300268,0.847712101749879,0.7844493613961508,0.14949120279523004,227,54,46,123,0.19217081850533807,0.27218934911242604
FASTTEXT-EMB_LOG-REG_20260708_174434,59,0.23327088356018066,0.41000000000000003,200,3,idf_weighted_mean,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.7777777777777778,0.7678199161911179,0.6949152542372882,0.727810650887574,0.7109826589595376,0.7652386218985414,0.7787423282300268,0.8441533828886689,0.7799946317527234,0.151757390312822,227,54,46,123,0.19217081850533807,0.27218934911242604
FASTTEXT-EMB_LOG-REG_20260708_174434,25,0.047576904296875,0.42000000000000004,100,5,idf_weighted_mean,False,0.3,,0.42000000000000004,450,169,281,0.37555555555555553,0.7866666666666666,0.7690412516582787,0.7239263803680982,0.6982248520710059,0.7108433734939759,0.7709146444934668,0.7858657163866734,0.8372254627387394,0.7723926799022981,0.15330814061999226,236,45,51,118,0.1601423487544484,0.30177514792899407
